t,lx,ly,rx,ry,px,py,pz,qx,qy,qz,qw
1.334000,-0.021448,0.000047,-0.033794,0.027656,-0.006753,-0.006180,0.007163,-0.024639,0.011867,-0.012991,-0.999542
1.342000,-0.021448,0.000047,-0.033794,0.027656,-0.006745,-0.006177,0.007159,-0.024624,0.011819,-0.013004,-0.999542
1.350000,-0.021448,0.000047,-0.033794,0.027656,-0.006728,-0.006190,0.007174,-0.024677,0.011784,-0.012975,-0.999542
1.359000,-0.021604,0.000107,-0.033947,0.027637,-0.006701,-0.006198,0.007186,-0.024714,0.011743,-0.012918,-0.999542
1.367000,-0.021572,-0.000111,-0.034003,0.027628,-0.006682,-0.006192,0.007180,-0.024692,0.011702,-0.012888,-0.999544
1.375000,-0.021313,-0.001028,-0.034044,0.027535,-0.006658,-0.006183,0.007171,-0.024659,0.011654,-0.012846,-0.999545
1.384000,-0.021342,-0.001307,-0.034112,0.027333,-0.006619,-0.006164,0.007151,-0.024589,0.011617,-0.012746,-0.999549
1.392000,-0.021327,-0.001514,-0.034123,0.027202,-0.006600,-0.006149,0.007135,-0.024531,0.011585,-0.012706,-0.999551
1.400000,-0.021180,-0.002030,-0.034179,0.026993,-0.006581,-0.006134,0.007119,-0.024475,0.011564,-0.012660,-0.999553
1.409000,-0.021072,-0.002270,-0.034162,0.026909,-0.006561,-0.006112,0.007095,-0.024389,0.011554,-0.012601,-0.999556
1.417000,-0.020987,-0.002719,-0.034167,0.026581,-0.006538,-0.006090,0.007071,-0.024306,0.011551,-0.012526,-0.999559
1.425000,-0.020882,-0.003021,-0.034154,0.026433,-0.006523,-0.006074,0.007055,-0.024247,0.011555,-0.012470,-0.999561
1.434000,-0.020548,-0.003878,-0.034129,0.026335,-0.006518,-0.006064,0.007043,-0.024206,0.011560,-0.012448,-0.999563
1.442000,-0.020505,-0.004057,-0.034120,0.026229,-0.006501,-0.006051,0.007029,-0.024158,0.011561,-0.012392,-0.999565
1.450000,-0.020475,-0.004162,-0.034105,0.026182,-0.006513,-0.006051,0.007029,-0.024158,0.011567,-0.012426,-0.999564
1.459000,-0.020441,-0.004243,-0.034096,0.026168,-0.006512,-0.006041,0.007017,-0.024117,0.011570,-0.012422,-0.999565
1.467000,-0.020442,-0.004463,-0.034102,0.026034,-0.006514,-0.006036,0.007011,-0.024096,0.011566,-0.012431,-0.999565
1.475000,-0.020406,-0.004676,-0.034106,0.026018,-0.006516,-0.006039,0.007015,-0.024110,0.011557,-0.012446,-0.999565
